16777216_Most unique_12288,Wiki Sort (12288),Helium Sort (12288),Grail Sort (12288),Log Sort (12288)
Scrambled head,219136,211354,525287,387176
Random inputs,1356555,1501970,1579009,541313
Reverse sorted inputs,253223,285441,460405,511869
Scrambled tail,215018,216183,522217,368899
Presorted inputs,36293,24753,337110,322387
Final merge pass,84270,68222,380690,390667
