16777216_sqrt(n) unique_8388608,Wiki Sort (8388608),Helium Sort (8388608),Grail Sort (8388608),Log Sort (8388608)
Scrambled head,140303,149157,678806,192803
Random inputs,775097,958657,1837913,182088
Reverse sorted inputs,128178,142065,604353,180411
Scrambled tail,132928,152220,653896,178859
Presorted inputs,25338,25378,466106,177328
Final merge pass,48923,46184,471094,183173
