16777216_Few unique_12288,Wiki Sort (12288),Helium Sort (12288),Grail Sort (12288),Log Sort (12288)
Scrambled head,98143,92190,246293,91928
Random inputs,420745,503615,739630,95497
Reverse sorted inputs,78841,54868,210961,93514
Scrambled tail,93854,96480,273242,91480
Presorted inputs,28572,25878,189642,88094
Final merge pass,55635,40653,192169,85603
