16777216_Most unique_8192,Wiki Sort (8192),Helium Sort (8192),Grail Sort (8192),Log Sort (8192)
Scrambled head,220214,213543,525218,391733
Random inputs,1366542,1505046,1579747,546634
Reverse sorted inputs,257334,280817,461229,516135
Scrambled tail,216210,217932,521029,373273
Presorted inputs,36228,25079,337032,361959
Final merge pass,84223,71237,381543,395692
