16777216_Most unique_8388608,Wiki Sort (8388608),Helium Sort (8388608),Grail Sort (8388608),Log Sort (8388608)
Scrambled head,199004,207725,525237,328621
Random inputs,1252739,1475062,1579573,475477
Reverse sorted inputs,190884,299110,461899,443707
Scrambled tail,194339,212047,521543,321126
Presorted inputs,35640,24737,337067,285797
Final merge pass,73006,66168,380999,359672
