16777216_Few unique_8388608,Wiki Sort (8388608),Helium Sort (8388608),Grail Sort (8388608),Log Sort (8388608)
Scrambled head,93573,90762,245497,79111
Random inputs,398851,493346,746198,76541
Reverse sorted inputs,70731,60249,214195,79323
Scrambled tail,90025,93835,273327,83833
Presorted inputs,24605,26087,191416,78159
Final merge pass,50332,40965,192903,72148
